formula,name,category,information,Reference,Hydrogen_storage,optimum_Hydrogen_storage,method,image
La0.75Mg0.25Ni2.5Co0.4,La0.75Mg0.25Ni2.5Co0.4,,"(La,Mg)Ni3 rhombohedral R3-m (166) LaNi5 hexagonal, P6/mmm (191) LaNi2 La2Ni7 hexagonal","1. J. Alloys Compd. 2008, 454, 437-441.","303K, 270 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00609g1.png']
La0.75Mg0.25Ni2.5Co0.2,La0.75Mg0.25Ni2.5Co0.2,,"(La,Mg)Ni3 rhombohedral R3-m (166) LaNi5 hexagonal, P6/mmm (191) LaNi2 La2Ni7 hexagonal","1. J. Alloys Compd. 2008, 454, 437-441.","303K, 220 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00608g1.png']
La0.75Mg0.25Ni2.5,La0.75Mg0.25Ni2.5,,"(La,Mg)Ni3 rhombohedral R3-m (166) LaNi5 hexagonal, P6/mmm (191) LaNi2 La2Ni7 hexagonal""","1. J. Alloys Compd. 2008, 454, 437-441.","303K, 177.7 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00607g1.png']
Ti0.32Cr0.35Mn0.08V0.25,Ti0.32Cr0.35Mn0.08V0.25,,BCC cubic,"1. J. Power Sources, 2008, 180, 648-652.","303K, 5 MPa, 3.32 wt%",3.32,arc melting,['http://www.hydrsm.csdb.cn/chuqing/00606g1.png']
Ti0.32Cr0.4Mn0.03V0.25,Ti0.32Cr0.4Mn0.03V0.25,,BCC cubic,"1. J. Power Sources, 2008, 180, 648-652.","303K, 5 MPa, 3.46 wt%",3.46,arc melting,['http://www.hydrsm.csdb.cn/chuqing/00604g1.png']
Ti0.32Cr0.38Mn0.05V0.25,Ti0.32Cr0.38Mn0.05V0.25,,BCC cubic,"1. J. Power Sources, 2008, 180, 648-652.","303K, 5 MPa, 3.47 wt%",3.47,arc melting,['http://www.hydrsm.csdb.cn/chuqing/00605g1.png']
Ti0.26Zr0.07V0.24Mn0.1Ni0.33Mo0.10,Ti0.26Zr0.07V0.24Mn0.1Ni0.33Mo0.10,,"BCC cubic a = 3.022 ? C14 Laves, hexagonal a = 4.918 ?, c = 8.039 ?","1. Mater. Sci. Eng. B, 2008, 150, 168-174.","303K, 391.9 mAh/g",,arc melting,['http://www.hydrsm.csdb.cn/chuqing/00602g1.png']
Ti0.26Zr0.07V0.24Mn0.1Ni0.33Mo0.075,Ti0.26Zr0.07V0.24Mn0.1Ni0.33Mo0.075,,"BCC cubic a = 3.021 ? C14 Laves, hexagonal a = 4.918 ?, c = 8.034 ?","1. Mater. Sci. Eng. B, 2008, 150, 168-174.","303K, 407.0 mAh/g",,arc melting,['http://www.hydrsm.csdb.cn/chuqing/00601g1.png']
La0.7Mg0.3Ni3.35(MnAl2)0.15,La0.7Mg0.3Ni3.35(MnAl2)0.15,,"LaNi5, hexagonal, P6/mmm (191) (La, Mg)Ni3, rhombohedral R3-m (166) LaNi","1. J. Alloys Compd, 2008, 457, 90-96.","303K, 325.1 mAh/g",,magnetic levitation melting,['http://www.hydrsm.csdb.cn/chuqing/00589g1.png']
Ti0.32Cr0.43V0.25,Ti0.32Cr0.43V0.25,,BCC cubic,"1. J. Power Sources, 2008, 180, 648-652.","303K, 5 MPa, 3.11 wt%",3.11,arc melting,['http://www.hydrsm.csdb.cn/chuqing/00603g1.png']
La0.7Mg0.3Ni3.30(MnAl2)0.20,La0.7Mg0.3Ni3.30(MnAl2)0.20,,"LaNi5, hexagonal, P6/mmm (191) (La, Mg)Ni3, rhombohedral R3-m (166) LaNi","1. J. Alloys Compd, 2008, 457, 90-96.","303K, 293.9 mAh/g",,magnetic levitation melting,['http://www.hydrsm.csdb.cn/chuqing/00590g1.png']
La0.7Mg0.3Ni3.5,La0.7Mg0.3Ni3.5,,"LaNi5, hexagonal, P6/mmm (191) (La, Mg)Ni3, rhombohedral R3-m (166) LaNi","1. J. Alloys Compd, 2008, 457, 90-96.","303K, 362.7 mAh/g",,magnetic levitation melting,['http://www.hydrsm.csdb.cn/chuqing/00586g1.png']
La0.7Mg0.3Ni3.4(MnAl2)0.10,La0.7Mg0.3Ni3.4(MnAl2)0.05,,"LaNi5, hexagonal, P6/mmm (191) (La, Mg)Ni3, rhombohedral R3-m (166) LaNi","1. J. Alloys Compd, 2008, 457, 90-96.","303K, 355.2 mAh/g",,magnetic levitation melting,['http://www.hydrsm.csdb.cn/chuqing/00588g1.png']
La0.7Mg0.3Ni3.45(MnAl2)0.05,La0.7Mg0.3Ni3.45(MnAl2)0.05,,"LaNi5, hexagonal, P6/mmm (191) (La, Mg)Ni3, rhombohedral R3-m (166) LaNi","1. J. Alloys Compd, 2008, 457, 90-96.","303K, 361.4 mAh/g",,magnetic levitation melting,['http://www.hydrsm.csdb.cn/chuqing/00587g1.png']
La(NiMnAlFe)5 + 10 wt.% Cu,La(NiMnAlFe)5 + 10 wt.% Cu,,"LaNi5, hexagonal, P6/mmm Cu cubic","1. J. Alloys Compd, 2008, 458, 583-587.","298K, 307 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00585g1.png']
La(NiMnAlFe)5 + 5 wt.% Cu,La(NiMnAlFe)5 + 5 wt.% Cu,,"LaNi5, hexagonal, P6/mmm Cu cubic","1. J. Alloys Compd, 2008, 458, 583-587.","298K, 301 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00584g1.png']
La(NiMnAlFe)5,La(NiMnAlFe)5,,"LaNi5, hexagonal, P6/mmm","1. J. Alloys Compd, 2008, 458, 583-587.","298K, 282 mAh/g",,inductive melting,"['http://www.hydrsm.csdb.cn/chuqing/00583g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00583g2.png']"
MmNi3.55Mn0.4Al0.3Co0.2Fe0.55,MmNi3.55Mn0.4Al0.3Co0.2Fe0.55,,"LaNi5, hexagonal, P6/mmm a = 5.0343 ?, c = 4.0622 ?","1. J. Alloys Compd, 2008, 458, 410-414.","Room temperature, 210 mAh/g",,melting,[]
MmNi3.55Mn0.4Al0.3Fe0.75,MmNi3.55Mn0.4Al0.3Fe0.75,,"LaNi5, hexagonal, P6/mmm a = 5.0422 ?, c = 4.067 ?","1. J. Alloys Compd, 2008, 458, 410-414.","Room temperature, 200 mAh/g",,inductive melting,[]
La0.30Nd0.50Mg0.20Ni3.20Co0.20Al0.20,La0.30Nd0.50Mg0.20Ni3.20Co0.20Al0.20,,"LaNi5, hexagonal a = 5.016 ?, c = 3.97 ? La2Ni7, hexagonal a = 5.043 ?, c = 24.47 ? LaNi3, rhombohedral","1. J. Alloys Compd, 2008, 458, 357-362.","298 K, 369 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00579g1.png']
La0.20Nd0.60Mg0.20Ni3.20Co0.20Al0.20,La0.20Nd0.60Mg0.20Ni3.20Co0.20Al0.20,,"LaNi5, hexagonal a = 5.015 ?, c = 3.965 ? La2Ni7, hexagonal a = 5.037 ?, c = 24.43 ? LaNi3, rhombohedral","1. J. Alloys Compd, 2008, 458, 357-362.","298 K, 338 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00580g1.png']
La0.40Nd0.40Mg0.20Ni3.20Co0.20Al0.20,La0.40Nd0.40Mg0.20Ni3.20Co0.20Al0.20,,"LaNi5, hexagonal a = 5.022 ?, c = 3.975 ? La2Ni7, hexagonal a = 5.046 ?, c = 24.49 ? LaNi3, rhombohedral","1. J. Alloys Compd, 2008, 458, 357-362.","298 K, 372 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00578g1.png']
La0.50Nd0.30Mg0.20Ni3.20Co0.20Al0.20,La0.50Nd0.30Mg0.20Ni3.20Co0.20Al0.20,,"LaNi5, hexagonal a = 5.025 ?, c = 3.978 ? La2Ni7, hexagonal a = 5.06 ?, c = 24.53 ? LaNi3, rhombohedral","1. J. Alloys Compd, 2008, 458, 357-362.","298 K, 374 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00577g1.png']
La0.60Nd0.20Mg0.20Ni3.20Co0.20Al0.20,La0.60Nd0.20Mg0.20Ni3.20Co0.20Al0.20,,"LaNi5, hexagonal a = 5.032 ?, c = 3.981 ? La2Ni7, hexagonal a = 5.062 ?, c = 24.56 ? LaNi3, rhombohedral","1. J. Alloys Compd, 2008, 458, 357-362.","298 K, 290 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00576g1.png']
(Ti0.9Zr0.1)1.1CrMn,(Ti0.9Zr0.1)1.1CrMn,,"C14 Laves, hexagonal (P63/mmc) a = 4.884 (2) ?, c = 8.017 (2) ?","1. Int. J. hydrogen energy, 2008, 33, 3754-3761.","268 K, 160 bar, 2.2 wt%.",2.2,Arc melting,['http://www.hydrsm.csdb.cn/chuqing/00575g1.png']
(Ti0.94Zr0.06)1.1CrMn,(Ti0.94Zr0.06)1.1CrMn,,"C14 Laves, hexagonal (P63/mmc) a = 4.870 (3) ?, c = 7.995 (1)?","1. Int. J. hydrogen energy, 2008, 33, 3754-3761.","268 K, 160 bar, 2.1 wt%.",2.1,Arc melting,['http://www.hydrsm.csdb.cn/chuqing/00574g1.png']
(Ti0.95Zr0.05)1.1CrMn,(Ti0.95Zr0.05)1.1CrMn,,"C14 Laves, hexagonal (P63/mmc) a = 4.870 (3) ?, c = 7.993 (2) ?","1. Int. J. hydrogen energy, 2008, 33, 3754-3761.","268 K, 160 bar, 2.1 wt%.",2.1,Arc melting,['http://www.hydrsm.csdb.cn/chuqing/00573g1.png']
Ti1.1CrMn,Ti1.1CrMn,,"C14 Laves, hexagonal (P63/mmc) a = 4.860 (4) ?, c = 7.962 (5) ?","1. Int. J. hydrogen energy, 2008, 33, 3754-3761.","268 K, 160 bar, 1.9 wt%.",1.9,Arc melting,['http://www.hydrsm.csdb.cn/chuqing/00572g1.png']
Lu0.16La0.65Nd0.14Pr0.05,Lu0.16La0.65Nd0.14Pr0.05,,"LaNi5, hexagonal P6/mmm (191) a = 5.0256(1) ?, c = 4.04311(9) ?","1. J. Alloys Compd, 2008, 459, 215-219.","333 K, 7.0 MPa, 0.81(H/M)",,melting,['http://www.hydrsm.csdb.cn/chuqing/00571g1.png']
Tm0.20La0.61Nd0.14Pr0.05,Tm0.20La0.61Nd0.14Pr0.05,,"LaNi5, hexagonal P6/mmm (191) a = 5.0222(1) ?, c = 4.03907(9) ?","1. J. Alloys Compd, 2008, 459, 215-219.","333 K, 7.0 MPa, 0.87(H/M)",,melting,[]
Gd0.25La0.56Nd0.14Pr0.05,Gd0.25La0.56Nd0.14Pr0.05,,"LaNi5, hexagonal P6/mmm (191) a = 5.0284(1) ?, c = 4.0403(1) ?","1. J. Alloys Compd, 2008, 459, 215-219.","333 K, 7.0 MPa, 0.855(H/M)",,melting,[]
Y0.40La0.41Nd0.14Pr0.05,Y0.40La0.41Nd0.14Pr0.05,,"LaNi5, hexagonal P6/mmm (191) a = 5.0104(1) ?, c = 4.0296(1) ?","1. J. Alloys Compd, 2008, 459, 215-219.","333 K, 7.0 MPa, 0.845(H/M)",,melting,[]
Ce0.47La0.34Nd0.14Pr0.05,Ce0.47La0.34Nd0.14Pr0.05,,"LaNi5, hexagonal P6/mmm (191) a = 4.9922(1) ?, c = 4.0566(1) ?","1. J. Alloys Compd, 2008, 459, 215-219.","333 K, 7.0 MPa, 0.825(H/M)",,melting,['http://www.hydrsm.csdb.cn/chuqing/00567g1.png']
ZrMn0.65Fe1.2,ZrMn0.65Fe1.2,,"C14 Laves, hexagonal (P63/mmc) a = 5.008 ?, c = 8.195 ?","1. J. Alloys Compd, 2008, 460, 186-190.","293 K, 2.5 MPa, 2.86 (H/M)",,melting,['http://www.hydrsm.csdb.cn/chuqing/00565g1.png']
ZrMn0.85Fe,ZrMn0.85Fe,,"C14 Laves, hexagonal (P63/mmc) a = 5.012 ?, c = 8.027 ?","1. J. Alloys Compd, 2008, 460, 186-190.","293 K, 2.5 MPa, 3.05 (H/M)",,melting,['http://www.hydrsm.csdb.cn/chuqing/00564g1.png']
ZrMn0.45Fe1.4,ZrMn0.45Fe1.4,,"C15 Laves, cubic (Fd3-m) a = 7.114 ?","1. J. Alloys Compd, 2008, 460, 186-190.","293 K, 2.5 MPa, 2.70 (H/M)",,melting,['http://www.hydrsm.csdb.cn/chuqing/00566g1.png']
La0.5Ce0.2Mg0.3Co0.4Ni2.2Mn0.4,La0.5Ce0.2Mg0.3Co0.4Ni2.2Mn0.4,,"(La, Mg)Ni3, rhombohedral a = 5.053 ?, c = 24.491 ? LaNi5 hexagonal P6/mmm (191) a = 5.036 ?, c = 4.058 ?","1. J. Alloys Compd, 2008, 461, 591-597.","303 K, 361 mAh/g",,inductive melting + quenching (15m/s),['http://www.hydrsm.csdb.cn/chuqing/00563g1.png']
La0.5Ce0.2Mg0.3Co0.4Ni2.2Mn0.4,La0.5Ce0.2Mg0.3Co0.4Ni2.2Mn0.4,,"(La, Mg)Ni3, rhombohedral a = 5.071 ?, c = 24.483 ? LaNi5 hexagonal P6/mmm (191) a = 5.049 ?, c = 4.052 ?","1. J. Alloys Compd, 2008, 461, 591-597.","303 K, 362.06 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00562g1.png']
La0.5Ce0.2Mg0.3Co0.4Ni2.3Mn0.3,La0.5Ce0.2Mg0.3Co0.4Ni2.3Mn0.3,,"(La, Mg)Ni3, rhombohedral a = 5.041 ?, c = 24.413 ? LaNi5 hexagonal P6/mmm (191) a = 5.033 ?, c = 4.052 ?","1. J. Alloys Compd, 2008, 461, 591-597.","303 K, 366 mAh/g",,inductive melting + quenching (15m/s),['http://www.hydrsm.csdb.cn/chuqing/00561g1.png']
La0.7Mg0.3Ni2.75Co0.75-10 wt% Ti0.17Zr0.08V0.35Cr0.1Ni0.3,La0.7Mg0.3Ni2.75Co0.75-10 wt% Ti0.17Zr0.08V0.35Cr0.1Ni0.3,,"(La, Mg)Ni3, rhombohedral a = 5.0373 ?, c = 25.3912 ? LaNi5 hexagonal P6/mmm (191) a = 5.0432 ?, c = 4.0056 ?","1. J. Alloys Compd, 2008, 462, 392-397.","303 K, 336 mAh/g",,Melting + ball milling,['http://www.hydrsm.csdb.cn/chuqing/00550g1.png']
La0.7Mg0.3Ni2.75Co0.75-5 wt% Ti0.17Zr0.08V0.35Cr0.1Ni0.3,La0.7Mg0.3Ni2.75Co0.75-5 wt% Ti0.17Zr0.08V0.35Cr0.1Ni0.3,,"(La, Mg)Ni3, rhombohedral a = 5.0387 ?, c = 25.3736 ? LaNi5 hexagonal P6/mmm (191) a = 5.0363 ?, c = 4.0086 ?","1. J. Alloys Compd, 2008, 462, 392-397.","303 K, 343.6 mAh/g",,Melting + ball milling,['http://www.hydrsm.csdb.cn/chuqing/00549g1.png']
Mg-Ni + Co-Si,Mg-Ni,,,"1. Int. J. hydrogen energy, 2008, 33, 4819-4823.","Room temperature, 307.9 mAh/g",,Ball milling for 10 h,['http://www.hydrsm.csdb.cn/chuqing/00546g1.png']
Mg-Ni + Co-Si,Mg-Ni,,,"1. Int. J. hydrogen energy, 2008, 33, 4819-4823.","Room temperature, 253.5 mAh/g",,Ball milling for 20 h,[]
Mg-Ni + Co-Si,Mg-Ni,,,"1. Int. J. hydrogen energy, 2008, 33, 4819-4823.","Room temperature, 273.3 mAh/g",,Ball milling for 15 h,[]
Mg-Ni,Mg-Ni,,,"1. Int. J. hydrogen energy, 2008, 33, 4819-4823.","Room temperature, 432 mAh/g",,Ball milling,['http://www.hydrsm.csdb.cn/chuqing/00544g1.png']
Mg-Ni + Co-Si,Mg-Ni,,,"1. Int. J. hydrogen energy, 2008, 33, 4819-4823.","Room temperature, 326.9 mAh/g",,Ball milling for 5 h,[]
Ti0.8Zr0.2V2.2Mn0.5Cr0.8Ni1.0Fe0.5,Ti0.8Zr0.2V2.2Mn0.5Cr0.8Ni1.0Fe0.5,,"C14 Laves phase (P63/mmc) a = 4.870 ?, c = 7.922 ? BCC cubic (Im3m) a = 2.968 ?","1. J. Alloys Compd, 2008, 463, 189-195.","303 K, 156.9 mAh/g",,,['http://www.hydrsm.csdb.cn/chuqing/00543g1.png']
Ti0.8Zr0.2V2.4Mn0.5Cr0.8Ni1.0Fe0.3,Ti0.8Zr0.2V2.4Mn0.5Cr0.8Ni1.0Fe0.3,,"C14 Laves phase (P63/mmc) a = 4.873 ?, c = 7.927 ? BCC cubic (Im3m) a = 2.972 ?","1. J. Alloys Compd, 2008, 463, 189-195.","303 K, 292 mAh/g",,,['http://www.hydrsm.csdb.cn/chuqing/00541g1.png']
Ti0.8Zr0.2V2.3Mn0.5Cr0.8Ni1.0Fe0.4,Ti0.8Zr0.2V2.3Mn0.5Cr0.8Ni1.0Fe0.4,,"C14 Laves phase (P63/mmc) a = 4.871 ?, c = 7.926 ? BCC cubic (Im3m) a = 2.969 ?","1. J. Alloys Compd, 2008, 463, 189-195.","303 K, 201.7 mAh/g",,,['http://www.hydrsm.csdb.cn/chuqing/00542g1.png']
La0.5Ce0.2Mg0.3Co0.4Ni2.3Mn0.3,La0.5Ce0.2Mg0.3Co0.4Ni2.3Mn0.3,,"(La, Mg)Ni3, rhombohedral a = 5.063 ?, c = 24.406 ? LaNi5 hexagonal P6/mmm (191) a = 5.041 ?, c = 4.045 ?","1. J. Alloys Compd, 2008, 461, 591-597.","303 K, 372.5 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00560g1.png']
La0.5Ce0.2Mg0.3Co0.4Ni2.4Mn0.2,La0.5Ce0.2Mg0.3Co0.4Ni2.4Mn0.2,,"(La, Mg)Ni3, rhombohedral a = 5.036 ?, c = 24.321 ? LaNi5 hexagonal P6/mmm (191) a = 5.025 ?, c = 4.039 ?","1. J. Alloys Compd, 2008, 461, 591-597.","303 K, 372 mAh/g",,inductive melting + quenching (15m/s),['http://www.hydrsm.csdb.cn/chuqing/00559g1.png']
La0.5Ce0.2Mg0.3Co0.4Ni2.4Mn0.2,La0.5Ce0.2Mg0.3Co0.4Ni2.4Mn0.2,,"(La, Mg)Ni3, rhombohedral a = 5.057 ?, c = 24.312 ? LaNi5 hexagonal P6/mmm (191) a = 5.034 ?, c = 4.032 ?","1. J. Alloys Compd, 2008, 461, 591-597.","303 K, 382.01 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00558g1.png']
La0.5Ce0.2Mg0.3Co0.4Ni2.5Mn0.1,La0.5Ce0.2Mg0.3Co0.4Ni2.5Mn0.1,,"(La, Mg)Ni3, rhombohedral a = 5.027 ?, c = 24.215 ? LaNi5 hexagonal P6/mmm (191) a = 5.016 ?, c = 4.027 ?","1. J. Alloys Compd, 2008, 461, 591-597.","303 K, 366 mAh/g",,inductive melting + quenching (15m/s),['http://www.hydrsm.csdb.cn/chuqing/00557g1.png']
La0.5Ce0.2Mg0.3Co0.4Ni2.5Mn0.1,La0.5Ce0.2Mg0.3Co0.4Ni2.5Mn0.1,,"(La, Mg)Ni3, rhombohedral a = 5.041 ?, c = 24.207 ? LaNi5 hexagonal P6/mmm (191) a = 5.023 ?, c = 4.021 ?","1. J. Alloys Compd, 2008, 461, 591-597.","303 K, 374 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00556g1.png']
La0.5Ce0.2Mg0.3Co0.4Ni2.6,La0.5Ce0.2Mg0.3Co0.4Ni2.6,,"(La, Mg)Ni3, rhombohedral a = 5.011 ?, c = 24.192 ? LaNi5 hexagonal P6/mmm (191) a = 5.008 ?, c = 4.021 ?","1. J. Alloys Compd, 2008, 461, 591-597.","303 K, 357 mAh/g",,inductive melting + quenching (15m/s),['http://www.hydrsm.csdb.cn/chuqing/00555g1.png']
La0.5Ce0.2Mg0.3Co0.4Ni2.6,La0.5Ce0.2Mg0.3Co0.4Ni2.6,,"(La, Mg)Ni3, rhombohedral a = 5.023 ?, c = 24.185 ? LaNi5 hexagonal P6/mmm (191) a = 5.012 ?, c = 4.013 ?","1. J. Alloys Compd, 2008, 461, 591-597.","303 K, 364.06 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00554g1.png']
LaMg10NiMn + 150 wt.% Ni,LaMg10NiMn + 150 wt.% Ni,,,"1. Materials Chemistry and Physics, 2008, 110, 234-238.","room temperature, 900 mAh/g",,Melting + ball milling,['http://www.hydrsm.csdb.cn/chuqing/00553g1.png']
La0.7Mg0.3Ni2.75Co0.75-15 wt% Ti0.17Zr0.08V0.35Cr0.1Ni0.3,La0.7Mg0.3Ni2.75Co0.75-15 wt% Ti0.17Zr0.08V0.35Cr0.1Ni0.3,,"(La, Mg)Ni3, rhombohedral a = 5.0265 ?, c = 25.5958 ? LaNi5 hexagonal P6/mmm (191) a = 5.0250 ?, c = 4.0086 ?","1. J. Alloys Compd, 2008, 462, 392-397.","303 K, 333.8 mAh/g",,Melting + ball milling,['http://www.hydrsm.csdb.cn/chuqing/00552g1.png']
La0.7Mg0.3Ni2.75Co0.75-15 wt% Ti0.17Zr0.08V0.35Cr0.1Ni0.3,La0.7Mg0.3Ni2.75Co0.75-15 wt% Ti0.17Zr0.08V0.35Cr0.1Ni0.3,,"(La, Mg)Ni3, rhombohedral a = 5.0295 ?, c = 25.4810 ? LaNi5 hexagonal P6/mmm (191) a = 5.0389 ?, c = 4.0044 ?","1. J. Alloys Compd, 2008, 462, 392-397.","303 K, 328.3 mAh/g",,Melting + ball milling,['http://www.hydrsm.csdb.cn/chuqing/00551g1.png']
Ti0.10Zr0.15V0.35Cr0.10Ni0.30 + 1% LaNi5,Ti0.10Zr0.15V0.35Cr0.10Ni0.30 + 1% LaNi5,,"BCC cubic (Im3m) a = 2.970 ? C14 Laves phase (P63/mmc) a = 4.948 ?, c = 8.066 ?","1. Electrochim. Acta 2008, 53, 7831-7837.","303 K, 1 MPa, 1.42 wt%",1.42,arc melting,['http://www.hydrsm.csdb.cn/chuqing/00504g1.png']
(Ti0.16Zr0.05Cr0.22V0.57)0.90Cu0.10,(Ti0.16Zr0.05Cr0.22V0.57)0.90Cu0.10,,ZrO2 ZrCr2 BCC cubic (Im3m),"1. Materials Chemistry and Physics, 2008, 112, 686-689.","293 K, 5 MPa, 2.493 wt%",2.493,arc melting,['http://www.hydrsm.csdb.cn/chuqing/00502g1.png']
(Ti0.16Zr0.05Cr0.22V0.57)0.93Cu0.07,(Ti0.16Zr0.05Cr0.22V0.57)0.93Cu0.07,,ZrO2 ZrCr2 BCC cubic (Im3m),"1. Materials Chemistry and Physics, 2008, 112, 686-689.","293 K, 5 MPa, 2.906 wt%",2.906,arc melting,['http://www.hydrsm.csdb.cn/chuqing/00501g1.png']
Ti0.10Zr0.15V0.35Cr0.10Ni0.30 + 0% LaNi5,Ti0.10Zr0.15V0.35Cr0.10Ni0.30 + 0% LaNi5,,"BCC cubic (Im3m) a = 2.969 ? C14 Laves phase (P63/mmc) a = 4.948 ?, c = 8.903 ?","1. Electrochim. Acta 2008, 53, 7831-7837.","303 K, 1 MPa, 1.33 wt%",1.33,arc melting,['http://www.hydrsm.csdb.cn/chuqing/00503g1.png']
MmNi4.07Mn0.63Al0.6,MmNi4.07Mn0.63Al0.6,,"LaNi5, hexagonal a = 5.031 ?, c = 4.090 ?","1. J. Alloys Compd, 2008, 465, 517-521.","313 K, 10 bar, 4.7 (H/M)",,inductive melting + Rapid quenching,[]
MmNi4.47Mn0.63Al0.2,MmNi4.47Mn0.63Al0.2,,"LaNi5, hexagonal a = 5.004 ?, c = 4.059 ?","1. J. Alloys Compd, 2008, 465, 517-521.","313 K, 10 bar, 5.33 (H/M)",,inductive melting + Rapid quenching,[]
MmNi4.07Mn0.63Al0.2Cu0.4,MmNi4.07Mn0.63Al0.2Cu0.4,,"LaNi5, hexagonal a = 5.021 ?, c = 4.072 ?","1. J. Alloys Compd, 2008, 465, 517-521.","313 K, 10 bar, 5.36 (H/M)",,inductive melting + annealing 1050 ?-4 days,[]
MmNi4.47Mn0.63Al0.2,MmNi4.47Mn0.63Al0.2,,"LaNi5, hexagonal a = 5.011 ?, c = 4.069 ?","1. J. Alloys Compd, 2008, 465, 517-521.","313 K, 10 bar, 5.51 (H/M)",,inductive melting + annealing 1050 ?-4 days,[]
MmNi4.07Mn0.63Al0.2Fe0.4,MmNi4.07Mn0.63Al0.2Fe0.4,,"LaNi5, hexagonal a = 5.026 ?, c = 4.076 ?","1. J. Alloys Compd, 2008, 465, 517-521.","313 K, 10 bar, 5.40 (H/M)",,inductive melting + annealing 1050 ?-4 days,[]
MmNi4.07Mn1.03Al0.2,MmNi4.07Mn1.03Al0.2,,"LaNi5, hexagonal a = 5.042 ?, c = 4.093 ?","1. J. Alloys Compd, 2008, 465, 517-521.","313 K, 10 bar, 5.60 (H/M)",,inductive melting + annealing 1050 ?-4 days,[]
MmNi4.07Mn0.63Al0.2Co0.4,MmNi4.07Mn0.63Al0.2Co0.4,,"LaNi5, hexagonal a = 5.015 ?, c = 4.063 ?","1. J. Alloys Compd, 2008, 465, 517-521.","313 K, 10 bar, 5.56 (H/M)",,inductive melting+ annealing 1050 ?-4 days,[]
La0.75Mg0.25Ni3.5Co0.6,La0.75Mg0.25Ni3.5Co0.6,,"(La, Mg)2Ni7, hexagonal a = 5.0102 ?, c = 24.652 ? LaNi5, hexagonal a = 4.8205 ?, c = 4.0267 ?","1. J. Alloys Compd, 2008, 465, 422-428.","303 K, 319.2 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00513g1.png']
La0.75Mg0.25Ni3.5Co0.4,La0.75Mg0.25Ni3.5Co0.4,,"(La, Mg)2Ni7, hexagonal a = 5.0167 ?, c = 24.732 ? LaNi5, hexagonal a = 4.8302 ?, c = 4.0212 ?","1. J. Alloys Compd, 2008, 465, 422-428.","303 K, 340 mAh/g",,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00512g1.png']
SrAl1.8Al0.2,SrAl1.8Al0.2,,"Sr5Al9 R-3mH (166) a = 5.8734(3) ?, c = 35.659(5) ? AlNi Pm-3m (221), a = 2.8677(5) ? SrAl P213 (198), a = 12.733(2) ?","1. Int. J. hydrogen energy 2008, 33, 7498-7504.","473 K, 3 MPa, 0.89 wt%",0.89,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00489g1.png']
SrAl1.9Al0.1,SrAl1.9Al0.1,,"Sr5Al9 R-3mH (166) a = 5.8721(5) ?, c = 35.653(1) ? AlNi Pm-3m (221), a = 2.8579(2) ? SrAl P213 (198), a = 12.727(1) ? SrAl2 Imma (74) a = 7.9116(4) ? , b = 4.8049(2) ?, c = 7.9519(1) ?","1. Int. J. hydrogen energy 2008, 33, 7498-7504.","473 K, 3 MPa, 0.82 wt%",0.82,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00487g1.png']
SrAl2,SrAl2,,"SrAl2, Imma (74) a = 7.8914(2) ? , b = 4.7960(3) ?, c = 7.9523(3) ?","1. Int. J. hydrogen energy 2008, 33, 7498-7504.","473 K, 3 MPa, 1.08 wt%",1.08,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00486g1.png']
SrAl1.7Al0.2,SrAl1.7Al0.2,,"Sr5Al9 R-3mH (166) a = 5.8755(2) ?, c = 35.668(4) ? AlNi Pm-3m (221), a = 2.8640(1) ? SrAl P213 (198), a = 12.730(3)? SrAl2 Imma (74) a = 7.9120(2) ? , b = 4.8072(1) ?, c = 7.9508(2) ?","1. Int. J. hydrogen energy 2008, 33, 7498-7504.","473 K, 3 MPa, 0.88 wt%",0.88,inductive melting,['http://www.hydrsm.csdb.cn/chuqing/00488g1.png']
